项目,阶段,模块,任务编号,任务名称,负责人岗位,状态,优先级,是否阻塞主链路,预计完成日,产物,当前进度说明
量化系统MVP,第1个月第1周,策略研发,SE-W1-03,实现 ret_60d,研发工程师,未开始,P0,是,第2天,feature_factor_value.csv,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-04,实现 ma_gap_20d,研发工程师,未开始,P0,是,第2天,feature_factor_value.csv,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-05,实现 volatility_20d,研发工程师,未开始,P1,否,第3天,feature_factor_value.csv,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-06,实现 amount_ma_20d,研发工程师,未开始,P1,否,第3天,feature_factor_value.csv,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-07,实现标签样例,研发工程师,未开始,P0,是,第3天,label_forward_return.csv,项目中未见产物
量化系统MVP,第1个月第1周,策略研发,SE-W1-08,实现综合分和排名,研发工程师,未开始,P0,是,第4天,signal_score.csv,项目中未见产物
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-01,定组合参数,组合风控/交易运维工程师,部分完成,P0,是,第1天,configs/portfolio.yaml,配置存在；缺草案说明
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-02,定计划单字段,组合风控/交易运维工程师,未开始,P0,是,第1天,order_plan_template.csv,项目中未见产物
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-03,定最小风控规则,组合风控/交易运维工程师,未开始,P0,是,第2天,risk_rule_v0.1.md,项目中未见产物
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-04,定拦截原因,组合风控/交易运维工程师,未开始,P0,是,第2天,risk_block_reason_list.md,项目中未见产物
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-05,定目标数量计算规则,组合风控/交易运维工程师,未开始,P1,是,第3天,order_qty_rule_v0.1.md,项目中未见产物
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-06,生成 TopN 组合样例,组合风控/交易运维工程师,未开始,P0,是,第4天,portfolio_target_v0.1.csv,等待 signal_score
量化系统MVP,第1个月第1周,组合风控交易,RO-W1-07,生成计划单样例,组合风控/交易运维工程师,未开始,P0,是,第4天,order_plan_sample.csv,等待组合目标和风控规则
